PERGUNTA,RESPOSTA DA INTEGRAÇÃO
quais os modelos de Active,"Os modelos de Active são 200, 200R, 300R e 400."
qual a capacidade do Active ip 100?,The capacity of the Active IP 100 is not explicitly mentioned in the provided context information.
qual a capacidade do modelo 200r do active?,The capacity of the ACTIVE IP model 200R is not specified in the provided context information.
Qual a  configuração básica do Active IP 300R,A configuração básica do Active IP 300R é a seguinte: possui 10 slots e 160 portas.
Como funciona o grupo de conferencia?,"O grupo de conferência funciona como uma solução do servidor de aplicações IPCom, chamada v-conference. Essa função oferece recursos sofisticados de conferência por agendamento, permitindo a criação, convite e administração de audi oconferências em salas privativas e públicas. O v-conference é capaz de gerenciar até 50 pessoas......................."
Como funciona o grupo de conferencia na central Active?,"Para um ramal chamado abandonar a conferência no Active, basta repor o monofone no gancho. Os outros ramais e/ou linhas-tronco continuarão em conferência. Para que ramais IP participem da conferência, é necessária a presença de Placa Media Gateway e canais livres na quantidade suficiente ao número de ramais IP que participarão da conferência."
Qual a resistencia de loop da placa de interface de ramal?,A resistência de loop da placa de interface de ramal é de 700 ohms.
o que é um retorno automático?,"Um retorno automático no Ision é um recurso que permite que, caso um usuário chame outro e receba uma mensagem de terminal ocupado, o autor da ligação possa solicitar que o sistema promova uma ligação informando a situação, e se o autor ainda se interessar pela ligação, basta manter o monofone fora do gancho para que o sistema complete automaticamente a ligação pendente."
Como se configura o retorno automático no Active?,"Para configurar o retorno automático no Active, o usuário deve seguir os seguintes passos: se um ramal chama outro ramal e este está ocupado, o ramal chamador deve discar o comando Flash + 18, aguardar a mensagem de confirmação e recolocar o fone no gancho. Quando o ramal chamado estiver desocupado, o ramal chamador receberá uma ligação do Sistema ACTIVE IP e procederá automaticamente ao estabelecimento da chamada ao alvo programado. No caso de ramais IP, deve-se discar diretamente ""18rrr"" + tecla Send, onde ""rrr"" é o número do ramal para o qual se deseja programar o Retorno Automático."
quando a programação de retorno automático é expirada ou desfeita no Active?,"A programação de retorno automático é expirada automaticamente se não puder ser estabelecida em algumas horas. Além disso, a programação é automaticamente desfeita se os ramais envolvidos estabelecerem uma ligação entre si antes que o sistema tenha tempo para estabelecê-la."
qual a diferencia entre Intercalação de telefonista  e a especial no Active,"A diferença entre a Intercalação de telefonista e a Intercalação Especial no Sistema ACTIVE IP está na finalidade e nos usuários autorizados a utilizar cada uma. A Intercalação de telefonista permite que a telefonista interfira em uma ligação em curso para dar recados urgentes, enquanto a Intercalação Especial é um recurso privativo de ambientes de Telemarketing que permite ao administrador do grupo de telemarketing monitorar a performance de seus vendedores sem ser ouvido."
